id,tempo,tempo_categorical,liveness,liveness_categorical,valence,valence_categorical,energy,energy_categorical,dance,dance_categorical,acoustic,acoustic_categorical,instrumental,instrumental_categorical,enjoy_life,resilience,balanced,emotional_flexibility,self_actualization,health,health_categorical,gender,age_range,hours_of_music,hours_of_music_categorical,traumatic_experience,#_songs_missing
201,128.2273333,Medium-Fast-tempo,0.114666667,Low,0.223666667,Low-Valence,0.554,Low-Energy,0.624666667,Low-dance,0.1277,Low,0,Low,3,4,4,3,5,19,Medium-Health,Male,18 - 30,1-2 hours,Medium,No,0
202,125.365,Medium-Fast-tempo,0.115533333,Low,0.411,Low-Valence,0.601666667,Low-Energy,0.707,High-dance,0.207333333,Low,0.000908497,Low,3,3,5,2,6,19,Medium-Health,Female,17 & Under,2+ hours,High,No,0
203,125.3836667,Medium-Fast-tempo,0.193,High,0.315666667,Low-Valence,0.638333333,Low-Energy,0.6,Low-dance,0.200166667,Low,6.25E-05,Low,3,2,2,5,5,17,Medium-Health,Female,18 - 30,1-2 hours,Medium,No,0
204,116.763,Medium-Fast-tempo,0.2968,High,0.423333333,Low-Valence,0.413333333,Low-Energy,0.413666667,Low-dance,0.446666667,High,0.002070167,Low,3,5,0,5,4,17,Medium-Health,Male,18 - 30,1-2 hours,Medium,No,0
205,129.068,Medium-Fast-tempo,0.44175,High,0.7295,High-Valence,0.737,High-Energy,0.7,High-dance,0.3825,High,0,Low,3,5,2,5,4,19,Medium-Health,Female,18 - 30,2+ hours,High,Yes,1
206,125.5563333,Medium-Fast-tempo,0.240666667,High,0.542333333,High-Valence,0.763666667,High-Energy,0.625,Low-dance,0.1164,Low,0.0017,Low,5,5,4,6,5,25,High-Health,Male,18 - 30,2+ hours,High,No,0
207,124.76,Medium-Fast-tempo,0.2513,High,0.485333333,High-Valence,0.863,High-Energy,0.622333333,Low-dance,0.11242,Low,0.00000054,Low,3,6,6,6,6,27,High-Health,Male,18 - 30,0 - 1 hours,Low,Yes,0
208,147.792,Fast-tempo,0.210333333,High,0.379333333,Low-Valence,0.649333333,High-Energy,0.673,High-dance,0.163633333,Low,0.00000046,Low,5,6,4,6,4,25,High-Health,Male,18 - 30,2+ hours,High,Yes,0
209,108.9883333,Medium-Slow-tempo,0.291533333,High,0.495666667,High-Valence,0.755,High-Energy,0.773333333,High-dance,0.208166667,Low,0.000467357,Low,5,4,5,3,4,21,High-Health,Female,18 - 30,2+ hours,High,Yes,0
210,111.2943333,Medium-Fast-tempo,0.188333333,Low,0.404333333,Low-Valence,0.599666667,Low-Energy,0.550333333,Low-dance,0.227,High,0,Low,4,5,4,5,6,24,High-Health,Female,18 - 30,2+ hours,High,No,0
211,110.1876667,Medium-Slow-tempo,0.342333333,High,0.408666667,Low-Valence,0.614933333,Low-Energy,0.483333333,Low-dance,0.297973333,High,8.49E-05,Low,4,5,4,5,3,21,High-Health,Female,18 - 30,2+ hours,High,Yes,0
212,150.109,Fast-tempo,0.22,High,0.63,High-Valence,0.847,High-Energy,0.67,High-dance,0.0156,Low,0,Low,4,4,4,5,4,21,High-Health,Female,18 - 30,2+ hours,High,Yes,2
213,136.653,Fast-tempo,0.1157,Low,0.509333333,High-Valence,0.846333333,High-Energy,0.520333333,Low-dance,0.086396667,Low,0.001646667,Low,2,2,3,4,5,16,Medium-Health,Female,18 - 30,2+ hours,High,No,0
214,129.2856667,Medium-Fast-tempo,0.196733333,High,0.481,High-Valence,0.665666667,High-Energy,0.729333333,High-dance,0.41,High,0.0000092,Low,2,6,2,4,4,18,Medium-Health,Female,18 - 30,2+ hours,High,No,0
215,125.6376667,Medium-Fast-tempo,0.125866667,Low,0.519666667,High-Valence,0.687,High-Energy,0.655666667,High-dance,0.190666667,Low,0.00000721,Low,4,3,4,2,4,17,Medium-Health,Female,18 - 30,1-2 hours,Medium,Yes,0
216,141.978,Fast-tempo,0.2455,High,0.585,High-Valence,0.909,High-Energy,0.464,Low-dance,0.002096,Low,0.0000039,Low,5,5,3,5,5,23,High-Health,Female,18 - 30,1-2 hours,Medium,Yes,1
217,112.3145,Medium-Fast-tempo,0.255,High,0.439,Low-Valence,0.3475,Low-Energy,0.5925,Low-dance,0.1915,Low,0.0595,High,5,6,5,6,4,26,High-Health,Male,18 - 30,2+ hours,High,No,1
218,105.2226667,Medium-Slow-tempo,0.1239,Low,0.412333333,Low-Valence,0.644666667,High-Energy,0.636,High-dance,0.373333333,High,0,Low,4,4,6,5,5,24,High-Health,Female,18 - 30,2+ hours,High,No,0
219,93.33866667,Medium-Slow-tempo,0.135533333,Low,0.233333333,Low-Valence,0.393666667,Low-Energy,0.742666667,High-dance,0.412366667,High,0.289154667,High,4,5,4,5,5,23,High-Health,Female,18 - 30,2+ hours,High,Yes,0
220,132.267,Fast-tempo,0.126933333,Low,0.531,High-Valence,0.876333333,High-Energy,0.610333333,Low-dance,0.1222,Low,0.043026667,Low,3,5,3,3,6,20,Medium-Health,Female,30+,0 - 1 hours,Low,Yes,0
221,112.6423333,Medium-Fast-tempo,0.097433333,Low,0.382,Low-Valence,0.664,High-Energy,0.633666667,High-dance,0.067533333,Low,0.021746667,Low,4,5,3,4,4,20,Medium-Health,Female,18 - 30,2+ hours,High,Yes,0
222,90.598,Slow-tempo,0.0696,Low,0.0596,Low-Valence,0.315,Low-Energy,0.2785,Low-dance,0.922,High,0.9175,High,6,5,6,6,6,29,High-Health,Female,18 - 30,1-2 hours,Medium,No,1
223,143.7853333,Fast-tempo,0.1948,High,0.489066667,High-Valence,0.767666667,High-Energy,0.658333333,High-dance,0.055046667,Low,0.001879,Low,2,1,3,0,3,9,Low-Health,Female,18 - 30,2+ hours,High,Yes,0
224,121.9683333,Medium-Fast-tempo,0.143933333,Low,0.412,Low-Valence,0.559666667,Low-Energy,0.620666667,Low-dance,0.29125,High,0.00094419,Low,3,3,4,2,5,17,Medium-Health,Female,18 - 30,2+ hours,High,No,0
225,129.6866667,Medium-Fast-tempo,0.180666667,Low,0.4,Low-Valence,0.69,High-Energy,0.619666667,Low-dance,0.104266667,Low,0.00000183,Low,4,3,5,5,4,21,High-Health,Female,18 - 30,2+ hours,High,No,0
226,114.6973333,Medium-Fast-tempo,0.222,High,0.406966667,Low-Valence,0.69,High-Energy,0.606,Low-dance,0.296633333,High,0.000343333,Low,5,2,6,2,4,19,Medium-Health,Female,18 - 30,1-2 hours,Medium,Yes,0
227,100.3023333,Medium-Slow-tempo,0.180333333,Low,0.174333333,Low-Valence,0.4483,Low-Energy,0.560666667,Low-dance,0.356943333,High,0.000118333,Low,4,5,1,5,2,17,Medium-Health,Female,18 - 30,2+ hours,High,Yes,0
228,129.501,Medium-Fast-tempo,0.327,High,0.299,Low-Valence,0.701,High-Energy,0.592,Low-dance,0.0451,Low,0,Low,2,4,6,5,5,22,High-Health,Male,18 - 30,1-2 hours,Medium,No,2
229,94.86666667,Medium-Slow-tempo,0.163733333,Low,0.431,Low-Valence,0.670333333,High-Energy,0.532,Low-dance,0.131986667,Low,0.007347367,Low,4,5,3,4,3,19,Medium-Health,Female,17 & Under,2+ hours,High,Yes,0
230,142.625,Fast-tempo,0.086833333,Low,0.658,High-Valence,0.713333333,High-Energy,0.738,High-dance,0.07324,Low,3.51E-05,Low,3,3,3,4,5,18,Medium-Health,Male,18 - 30,2+ hours,High,No,0
231,101.3553333,Medium-Slow-tempo,0.0972,Low,0.297666667,Low-Valence,0.506666667,Low-Energy,0.599666667,Low-dance,0.471666667,High,0.000833677,Low,5,5,3,5,5,23,High-Health,Female,18 - 30,0 - 1 hours,Low,No,0
232,124.538,Medium-Fast-tempo,0.251866667,High,0.553666667,High-Valence,0.711333333,High-Energy,0.560666667,Low-dance,0.023270067,Low,0.011176333,Low,2,3,4,3,3,15,Medium-Health,Male,18 - 30,1-2 hours,Medium,Yes,0
233,117.334,Medium-Fast-tempo,0.2723,High,0.751,High-Valence,0.701666667,High-Energy,0.602,Low-dance,0.048933333,Low,3.67E-05,Low,4,5,4,5,5,23,High-Health,Female,18 - 30,0 - 1 hours,Low,Yes,0
234,110.6493333,Medium-Slow-tempo,0.1031,Low,0.553,High-Valence,0.588333333,Low-Energy,0.834333333,High-dance,0.330333333,High,0.273333333,High,0,3,3,1,1,8,Low-Health,Female,18 - 30,2+ hours,High,No,0
