timestamp,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,song1,song2,song3,trauma,id,total_health,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,health_categorical
05/11/2016 15:10:52,Male,18 - 30,1 - 2,5,4,4,5,4,Maybe idk,Famous kanye,Mad world jubel,No,19,22,0.637,0.54,0.1435,0.3115,147.0745,0.0,0.0513,68.5,1.0
05/11/2016 15:12:49,Male,18 - 30,2+,4,5,4,6,6,You Left Me Croquet Club,Steppin' Out Kaskade,Sæglópur Sigur Rós,No,20,25,0.601,0.49033333333333334,0.26,0.3844,104.37466666666667,0.5646333333333333,0.38209999999999994,40.0,1.0
05/11/2016 15:13:38,Male,18 - 30,2+,3,4,1,4,4,Do You Mind DJ Khaled,Can't Forget You San Holo,Into You Ariana Grande,No,21,16,0.6806666666666666,0.5293333333333333,0.23,0.2536666666666667,107.044,0.0025739666666666668,0.012106666666666667,66.33333333333333,1.0
05/11/2016 15:13:52,Female,18 - 30,1 - 2,4,4,2,5,5,Broccoli D.R.A.M ft. Lil Yachty,Dat $tick Rich Chigga,Dissolve Absofacto,Yes,22,20,0.545,0.8054999999999999,0.09615,0.52,96.7625,8.455e-05,0.167,65.0,1.0
05/11/2016 15:13:57,Female,18 - 30,0 - 1,4,4,2,3,6,The Greatest Sia,11 Blocks Wrabel,Crazier Taylor Swift,Yes,23,19,0.66,0.5576666666666666,0.10070000000000001,0.3933333333333333,141.50033333333332,0.00016144333333333334,0.03163333333333334,67.66666666666667,1.0
05/11/2016 15:16:12,Female,18 - 30,2+,4,3,3,2,2,Justified A Day to Remember,Tidal Wave Taking Back Sunday,Black Honey Thrice ,Yes,24,14,0.8583333333333334,0.49199999999999994,0.09243333333333333,0.18476666666666666,128.73766666666666,0.00044264,0.010985666666666666,53.0,0.0
05/11/2016 15:17:06,Male,18 - 30,2+,5,4,4,4,6,Diljit Do You Know,Mickey Singh Phone,Travis Scott Through the Late Night,No,25,23,0.6926666666666667,0.6296666666666667,0.12083333333333333,0.36800000000000005,101.20466666666668,6.733333333333334e-07,0.214,60.0,1.0
05/11/2016 15:17:13,Male,18 - 30,0 - 1,4,5,5,6,3,Cold Water,One dance ,24K Magic,No,26,23,0.7366666666666667,0.7386666666666666,0.23033333333333336,0.505,101.296,0.0009533333333333334,0.03247333333333333,79.66666666666667,1.0
05/11/2016 15:17:38,Female,18 - 30,2+,5,3,4,3,6,Fake Love Drake,Goosebumps Travis Scott ,Deuces Chris Brown ,Yes,27,21,0.6516666666666667,0.8039999999999999,0.14073333333333332,0.422,112.73,0.0,0.0746,76.0,1.0
05/11/2016 15:19:53,Male,18 - 30,0 - 1,3,2,4,4,4,Perfect Illusion Lady GaGa,Me Too Meghan Trainor,Uptown Funk Mark Ronson ft Bruno Mars,No,28,17,0.706,0.8193333333333334,0.2923,0.673,121.27499999999999,0.19633373333333334,0.032826,51.666666666666664,1.0
05/11/2016 15:21:22,Male,18 - 30,1 - 2,5,3,1,4,4,Cold Water By Major Lazer justin bieber,Count on me By Bruno Mars,Treat you Better Shawn Mendes,Yes,29,17,0.38366666666666666,0.5266666666666667,0.15133333333333332,0.355,117.88833333333332,0.62,0.6916666666666665,29.0,1.0
05/11/2016 15:30:32,Male,18 - 30,2+,2,5,5,6,5,Chain Gang Sam Cooke,After Laughter Wendy Rene,Put me Thru Anderson Paak,No,30,23,0.5536666666666666,0.6193333333333333,0.14646666666666666,0.611,141.675,1.2226666666666664e-05,0.2879666666666667,56.0,1.0
05/11/2016 15:30:50,Male,17 & Under,1 - 2,5,4,5,5,6,Bombae fuse odg,Salute jassi sidhu,Fake love drake,No,31,25,0.7933333333333333,0.8443333333333333,0.2781,0.7013333333333334,110.87866666666666,9.443333333333333e-06,0.07780000000000001,53.666666666666664,1.0
