,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
34,11,https://www.youtube.com/watch?v=ABuR0nLRVo&list=PLkqYoqI5Cl1pc6b5jxei9o5CiMMlyZ3nO,https://www.youtube.com/watch?v=ABuR0nLRVo&list=PLkqYoqI5Cl1pc6b5jxei9o5CiMMlyZ3nO,,,,,,,,,,
35,11,End of august yanni,The End Of August,Yanni,0.199,0.19,0.127,0.126,153.287,0.869,0.943,34,"['new age', 'operatic pop']"
36,12,Monsoon Tokio Hotel,Monsoon,Tokio Hotel,0.734,0.58,0.196,0.175,111.962,0,0.0187,45,['german pop rock']
37,12,Imagine the Fire Hans Zimmer,Imagine the Fire,Hans Zimmer,0.675,0.564,0.118,0.145,102.992,0.767,0.167,40,"['german soundtrack', 'soundtrack']"
38,12,Way Away Yellowcard,Way Away,Yellowcard,0.959,0.357,0.0825,0.364,179.644,3.91e-05,6.93e-06,59,"['bow pop', 'emo', 'modern rock', 'pop punk', 'pop rock', 'post-grunge']"
39,13,One Dance Drake,One Dance,Drake,0.61,0.796,0.351,0.391,103.99,0.00286,0.00842,85,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
40,13,Summertime Sadness,Summertime Sadness,Lana Del Rey,0.654,0.565,0.122,0.235,111.968,1.8e-06,0.0542,64,"['dance pop', 'pop']"
41,13,Sorry Justin Bieber ,Sorry,Justin Bieber,0.768,0.605,0.308,0.414,100.209,0,0.0865,81,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']"
42,14,Peg pugg deep karan,#Peg Pugg,Deep Karan,0.911,0.719,0.0592,0.873,83.058,0,0.489,38,[]
43,14,Label black gupz sehra,Label black gupz sehra,,,,,,,,,,
44,14,No heart 21 savage,No Heart,21 Savage,0.444,0.906,0.173,0.678,140.063,6.44e-05,0.136,75,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
45,15,Arrival of the birds the cinematic orchestra,Arrival of the Birds,The Cinematic Orchestra,0.143,0.175,0.0915,0.0662,173.33,0.933,0.937,52,"['downtempo', 'ninja', 'nu jazz', 'trip hop']"
46,15,Waltz for life will be born Nujabes,Waltz for life will be born Nujabes,,,,,,,,,,
47,15,Throw it back ProletR,Throw it back ProletR,,,,,,,,,,
48,16,Reverse skydiving Hot Natured ft. Anabel Englund,Reverse skydiving Hot Natured ft. Anabel Englund,,,,,,,,,,
49,16,Let's Nacho from the movie Kapoor & Sons,Let's Nacho from the movie Kapoor & Sons,,,,,,,,,,
50,16,Lighthouse Nicky Romero,Lighthouse - Radio Edit,Nicky Romero,0.699,0.604,0.341,0.367,128.056,0,0.0208,44,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
51,17,swang Travis scott,swang Travis scott,,,,,,,,,,
52,17,fake love Drake,Fake Love,Drake,0.488,0.927,0.196,0.605,133.987,0,0.108,79,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
53,17,used to it future,In America,The Guess Who,0.82,0.363,0.32,0.849,75.698,0.00424,0.0125,36,"['album rock', 'blues-rock', 'bubblegum pop', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']"
54,18,M.A.A.D City Kendrick Lamar,m.A.A.d city,Kendrick Lamar,0.729,0.487,0.44,0.217,91.048,4.07e-06,0.0538,70,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
55,18,Ultralight Beam Kanye West,Ultralight Beam,Kanye West,0.393,0.596,0.539,0.36,107.425,0,0.637,73,"['pop rap', 'rap']"
56,18,Closer Chainsmokers,Closer,The Chainsmokers,0.524,0.748,0.111,0.661,95.01,0,0.414,88,"['edm', 'electropop', 'pop', 'tropical house']"
57,19,Maybe idk,Maybe IDK,Jon Bellion,0.533,0.606,0.172,0.221,120.049,0,0.0424,61,"['modern rock', 'pop', 'pop rap']"
58,19,Famous kanye,Famous,Kanye West,0.741,0.474,0.115,0.402,174.1,0,0.0602,76,"['pop rap', 'rap']"
59,19,Mad world jubel,Mad world jubel,,,,,,,,,,
60,20,You Left Me Croquet Club,You Left Me,Croquet Club,0.405,0.44,0.119,0.174,83.78,0.876,0.97,46,['progressive house']
