id,tempo,tempo_categorical,liveness,liveness_categorical,valence,valence_categorical,energy,energy_categorical,dance,dance_categorical,acoustic,acoustic_categorical,instrumental,instrumental_categorical,enjoy_life,resilience,balanced,emotional_flexibility,self_actualization,health,health_categorical,gender,age_range,hours_of_music,hours_of_music_categorical,traumatic_experience,#_songs_missing
27,101.293,Medium-Slow,0.230333333,High,0.494333333,High,0.739,High,0.735,High,0.032673333,Low,0.00082,Low,4,5,5,6,3,23,High,Male,18 - 30,0 - 1 hours,Low,No,0
28,112.7033333,Medium-Fast,0.109733333,Low,0.460666667,High,0.67,High,0.803,High,0.099266667,Low,0,Low,5,3,4,3,6,21,High,Female,18 - 30,2+ hours,High,Yes,0
29,121.2726667,Medium-Fast,0.292633333,High,0.678666667,High,0.706,High,0.819333333,High,0.032859333,Low,0.196333737,High,3,2,4,4,4,17,Medium,Male,18 - 30,0 - 1 hours,Low,No,0
30,147.6043333,Fast,0.144,Low,0.530666667,High,0.606,Low,0.503333333,Low,0.364333333,High,0,Low,5,3,1,4,4,17,Medium,Male,18 - 30,1-2 hours,Medium,Yes,0
31,142.2626667,Fast,0.159333333,Low,0.618666667,High,0.540333333,Low,0.617333333,Low,0.283633333,High,1.60E-05,Low,2,5,5,6,5,23,High,Male,18 - 30,2+ hours,High,No,0
32,110.852,Medium-Slow,0.2471,High,0.744,High,0.811666667,High,0.843333333,High,0.102466667,Low,9.44E-06,Low,5,4,5,5,6,25,High,Male,17 & Under,1-2 hours,Medium,No,0
33,149.9703333,Fast,0.135666667,Low,0.371333333,Low,0.662333333,High,0.626666667,Low,0.178633333,Low,0.071670747,High,3,3,3,4,4,17,Medium,Female,18 - 30,0 - 1 hours,Low,Yes,0
34,97.532,Medium-Slow,0.1033,Low,0.5335,High,0.5755,Low,0.7625,High,0.385,High,0,Low,5,6,5,5,6,27,High,Male,18 - 30,1-2 hours,Medium,Yes,1
35,83.424,Slow,0.375,High,0.543333333,High,0.667333333,High,0.498666667,Low,0.331133333,High,0.000983333,Low,4,6,2,5,5,22,High,Male,18 - 30,0 - 1 hours,Low,No,0
36,160.303,Fast,0.368666667,High,0.543666667,High,0.967666667,High,0.383333333,Low,0.005795333,Low,0.299733853,High,3,5,2,5,4,19,Medium,Male,18 - 30,2+ hours,High,No,0
37,118.0196667,Medium-Fast,0.072066667,Low,0.444666667,Low,0.848,High,0.617,Low,0.01518,Low,0.0194,Low,5,5,2,5,4,21,High,Male,18 - 30,2+ hours,High,No,0
38,139.6536667,Fast,0.118833333,Low,0.319333333,Low,0.525,Low,0.624,Low,0.133,Low,6.56E-06,Low,5,4,6,5,2,22,High,Male,18 - 30,2+ hours,High,No,0
39,120.604,Medium-Fast,0.2395,High,0.4655,High,0.5985,Low,0.467,Low,0.020725,Low,0.0000685,Low,2,4,3,1,5,15,Medium,Female,18 - 30,1-2 hours,Medium,No,1
40,121.9393333,Medium-Fast,0.202666667,High,0.468333333,High,0.63,Low,0.510666667,Low,0.390793333,High,3.37E-05,Low,4,2,2,1,1,10,Low,Male,18 - 30,1-2 hours,Medium,No,0
41,133.293,Fast,0.087866667,Low,0.548666667,High,0.695333333,High,0.699666667,High,0.0356,Low,0.001691,Low,4,5,3,6,4,22,High,Male,18 - 30,1-2 hours,Medium,No,0
42,121.123,Medium-Fast,0.109833333,Low,0.208666667,Low,0.310666667,Low,0.468333333,Low,0.588666667,High,0.302364,High,4,5,5,5,5,24,High,Male,30+,1-2 hours,Medium,No,0
43,113.3453333,Medium-Fast,0.136866667,Low,0.360333333,Low,0.668333333,High,0.647333333,High,0.144196667,Low,0.1386948,High,0,3,0,0,3,6,Low,Male,18 - 30,2+ hours,High,No,0
44,122.329,Medium-Fast,0.118866667,Low,0.477333333,High,0.567666667,Low,0.699666667,High,0.1594,Low,0.082666667,High,3,5,4,5,3,20,Medium,Female,18 - 30,1-2 hours,Medium,No,0
45,97.88766667,Medium-Slow,0.182333333,Low,0.457,High,0.633666667,Low,0.682666667,High,0.173833333,Low,0,Low,0,2,2,0,5,9,Low,Female,18 - 30,1-2 hours,Medium,Yes,0
46,102.6793333,Medium-Slow,0.180333333,Low,0.514333333,High,0.659333333,High,0.696333333,High,0.303,High,1.37E-05,Low,3,2,2,1,3,11,Medium,Female,18 - 30,0 - 1 hours,Low,No,0
47,147.3313333,Fast,0.120033333,Low,0.479666667,High,0.672,High,0.711666667,High,0.10012,Low,4.09E-06,Low,1,3,3,0,5,12,Medium,Female,18 - 30,2+ hours,High,No,0
48,107.3293333,Medium-Slow,0.157233333,Low,0.604,High,0.741,High,0.658,High,0.196566667,Low,1.65E-05,Low,4,4,5,4,4,21,High,Female,18 - 30,1-2 hours,Medium,No,0
49,126.01,Medium-Fast,0.24,High,0.804,High,0.916,High,0.671,High,0.0282,Low,0.00762,Low,4,5,5,4,5,23,High,Prefer not to specify,18 - 30,1-2 hours,Medium,Yes,2
50,163.0533333,Fast,0.141333333,Low,0.308666667,Low,0.614666667,Low,0.586,Low,0.292,High,0.000107337,Low,3,5,5,5,5,23,High,Male,18 - 30,2+ hours,High,No,0
51,101.2063333,Medium-Slow,0.092933333,Low,0.666333333,High,0.589333333,Low,0.565666667,Low,0.262066667,High,1.25E-05,Low,4,6,2,4,6,22,High,Female,18 - 30,1-2 hours,Medium,Yes,0
52,149.2555,Fast,0.2906,High,0.524,High,0.5425,Low,0.421,Low,0.31435,High,0.002475,Low,5,6,4,5,5,25,High,Female,18 - 30,2+ hours,High,Yes,1
53,101.678,Medium-Slow,0.2085,High,0.503,High,0.776,High,0.576,Low,0.02835,Low,0.00001285,Low,5,6,5,3,4,23,High,Male,18 - 30,1-2 hours,Medium,No,1
54,139.7016667,Fast,0.164333333,Low,0.389,Low,0.733666667,High,0.628666667,High,0.15905,Low,0.00000223,Low,4,4,5,3,4,20,Medium,Female,18 - 30,2+ hours,High,Yes,0
55,106.9383333,Medium-Slow,0.124566667,Low,0.181666667,Low,0.428666667,Low,0.635333333,High,0.071133333,Low,8.37E-05,Low,4,3,2,2,2,13,Medium,Male,18 - 30,1-2 hours,Medium,Yes,0
56,151.975,Fast,0.1676,Low,0.405333333,Low,0.939666667,High,0.394333333,Low,0.007484,Low,7.96E-06,Low,2,2,3,0,1,8,Low,Male,18 - 30,2+ hours,High,No,0
