energy,dance,valence,tempo,popularity
0.558,0.537333333,0.48,0.316559592,0.593333333
0.811,0.532,0.330766667,0.326979703,0.606666667
0.739,0.632666667,0.663333333,0.138685499,0.616666667
0.415,0.372,0.307666667,0.712342733,0.466666667
0.753666667,0.675666667,0.385333333,0.292912593,0.606666667
0.78,0.551333333,0.365666667,0.299624451,0.6
0.829,0.443333333,0.382,0.789739714,0.5
0.690333333,0.497666667,0.546333333,0.582124805,0.423333333
0.765666667,0.526333333,0.426333333,0.606720519,0.576666667
0.896333333,0.413,0.548333333,0.374419355,0.623333333
0.411333333,0.586666667,0.255666667,0.240087707,0.656666667
0.716333333,0.498333333,0.450333333,0.239697986,0.456666667
0.616,0.460333333,0.465333333,0.69881273,0.446666667
0.732666667,0.685,0.610666667,0.492103232,0.566666667
0.645666667,0.565,0.611666667,0.354004283,0.496666667
0.91,0.524,0.641,0.58490009,0.556666667
0.811333333,0.611666667,0.642,0.329656573,0.62
0.882333333,0.462666667,0.491333333,0.577774891,0.596666667
0.407033333,0.504666667,0.517666667,0.291286787,0.656666667
0.976333333,0.316333333,0.232,0.857039382,0.38
0.787333333,0.541333333,0.532333333,0.41767443,0.646666667
0.846333333,0.395666667,0.395666667,0.605712756,0.283333333
0.607,0.725333333,0.629,0.391716661,0.536666667
0.602,0.616333333,0.506333333,0.381017053,0.646666667
0.773,0.773333333,0.616666667,0.4312438,0.463333333
0.843,0.577333333,0.529666667,0.562048278,0.553333333
0.656333333,0.735333333,0.468666667,0.204638859,0.643333333
0.917666667,0.522666667,0.650666667,0.650774718,0.423333333
0.149466667,0.304333333,0.105666667,0.38724865,0
0.438333333,0.491333333,0.629,0.305651345,0.583333333
0.703333333,0.633,0.739,0.216830428,0.67
0.526333333,0.459333333,0.201933333,0.184991418,0.31
0.783666667,0.650333333,0.605,0.582242902,0.626666667
0.676333333,0.704666667,0.282333333,0.519167178,0.596666667
0.019326667,0.331333333,0.073966667,0.196269703,0.343333333
0.667666667,0.385666667,0.225666667,0.748350575,0.426666667
0.4375,0.306333333,0.187266667,0,0.553333333
0.603333333,0.537666667,0.721,0.46579511,0.523333333
0.739333333,0.684333333,0.748666667,0.29599493,0.503333333
0.563666667,0.574,0.610333333,0.8339002,0.536666667
0.628333333,0.506666667,0.477333333,0.540818335,0.453333333
0.624,0.672666667,0.352,0.656903963,0.876666667
0.649333333,0.618666667,0.492,0.601984821,0.433333333
0.739666667,0.598666667,0.582333333,0.840163289,0.466666667
0.741,0.589333333,0.690666667,0.396409057,0.313333333
0.746,0.499666667,0.337333333,0.586088935,0.496666667
0.796333333,0.542666667,0.446,0.556088305,0.363333333
0.701333333,0.366,0.372333333,0.725994772,0.326666667
0.715,0.638,0.671333333,0.32240934,0.78
0.891333333,0.701,0.591666667,0.728557481,0.423333333
0.601,0.566333333,0.674333333,0.336321193,0.483333333
0.907666667,0.576333333,0.574333333,0.7568024,0.453333333
0.696333333,0.43,0.329666667,0.452831971,0.546666667
0.555,0.445666667,0.461333333,0.509030501,0.493333333
0.513,0.744666667,0.610666667,0.732127955,0.746666667
0.588,0.460333333,0.237666667,0.471105547,0.416666667
0.76,0.660666667,0.557,0.637784024,0.65
0.498333333,0.404,0.426666667,0.540125498,0.556666667
0.697666667,0.553666667,0.324,0.60188247,0.653333333
0.680333333,0.577,0.647333333,0.51841923,0.486666667
0.6,0.487666667,0.458033333,0.405892263,0.333333333
0.57,0.458666667,0.228333333,0.437164407,0.5
0.538,0.660333333,0.557,0.393173193,0.68
0.552666667,0.615333333,0.358,0.790397122,0.483333333
0.747333333,0.496666667,0.324666667,0.625978238,0.266666667
0.514333333,0.707,0.659333333,0.320689058,0.546666667
0.829666667,0.567333333,0.583333333,0.428614168,0.6
0.756666667,0.595666667,0.420333333,0.381489442,0.583333333
0.886,0.567666667,0.471666667,0.748157683,0.543333333
0.572666667,0.522,0.784,0.51765947,0.273333333
0.500666667,0.696,0.562666667,0.318760136,0.456666667
0.648,0.513666667,0.497,0.841332452,0.486666667
0.527333333,0.312,0.110333333,0.070126128,0.193333333
0.790666667,0.321,0.272333333,0.654939613,0.546666667
0.731666667,0.530333333,0.443,0.781543767,0.643333333
0.678,0.675666667,0.755666667,0.401554159,0.48
0.928666667,0.415666667,0.381,0.49559891,0.493333333
0.496333333,0.511333333,0.584333333,0.293873116,0.423333333
0.715666667,0.565666667,0.613666667,0.345084006,0.606666667
