energy,dance,liveness,valence,instrumental,acoustic
0.607,0.725333333,0.079266667,0.629,0.034438397,0.167666667
0.602,0.616333333,0.218,0.506333333,0.001251033,0.146666667
0.773,0.773333333,0.149633333,0.616666667,0.003773833,0.0889
0.843,0.577333333,0.2336,0.529666667,0.000546667,0.040591
0.656333333,0.735333333,0.173566667,0.468666667,0.001398333,0.136953333
0.917666667,0.522666667,0.238666667,0.650666667,0.0037,0.131479667
0.149466667,0.304333333,0.113566667,0.105666667,0.790333333,0.954333333
0.438333333,0.491333333,0.328,0.629,0,0.642
0.703333333,0.633,0.344333333,0.739,0.000100167,0.120083333
0.526333333,0.459333333,0.1247,0.201933333,0.022333333,0.259433333
0.783666667,0.650333333,0.194333333,0.605,0.0092434,0.094526667
0.676333333,0.704666667,0.1289,0.282333333,0.2566707,0.101036667
0.019326667,0.331333333,0.105333333,0.073966667,0.909666667,0.992
0.667666667,0.385666667,0.087966667,0.225666667,0.318243333,0.2645
0.4375,0.306333333,0.143333333,0.187266667,0.423667367,0.4531
0.603333333,0.537666667,0.333333333,0.721,0.315673333,0.3636
0.739333333,0.684333333,0.279766667,0.748666667,0.00001509,0.2176
0.563666667,0.574,0.157433333,0.610333333,0.05456111,0.3692
0.628333333,0.506666667,0.248933333,0.477333333,0.125801367,0.0681284
0.624,0.672666667,0.144666667,0.352,0.000908497,0.163
0.649333333,0.618666667,0.098433333,0.492,0.007834333,0.2692
0.739666667,0.598666667,0.199766667,0.582333333,0.0889243,0.272233333
0.741,0.589333333,0.178666667,0.690666667,0.12126,0.394751667
0.746,0.499666667,0.188,0.337333333,0,0.091012467
0.796333333,0.542666667,0.239333333,0.446,0.032306667,0.193119333
0.701333333,0.366,0.332233333,0.372333333,0.00075709,0.297466567
0.715,0.638,0.0924,0.671333333,0.000476667,0.0239
0.891333333,0.701,0.456,0.591666667,6.67E-07,0.058033333
0.601,0.566333333,0.175466667,0.674333333,0.004176667,0.22276
0.907666667,0.576333333,0.105666667,0.574333333,0,0.019067367
0.696333333,0.43,0.164666667,0.329666667,0.189766667,0.1099
0.555,0.445666667,0.125333333,0.461333333,0.009928333,0.437866667
0.513,0.744666667,0.126166667,0.610666667,0.000816497,0.483
0.588,0.460333333,0.185766667,0.237666667,0.11343607,0.263629033
0.76,0.660666667,0.152,0.557,0.000275,0.209033333
0.498333333,0.404,0.1005,0.426666667,3.18E-05,0.531333333
0.697666667,0.553666667,0.1772,0.324,0.000232,0.161407
0.680333333,0.577,0.224,0.647333333,6.64E-05,0.225806667
0.6,0.487666667,0.321666667,0.458033333,0.011893333,0.439633333
0.57,0.458666667,0.297,0.228333333,0.00068426,0.14023
0.538,0.660333333,0.308066667,0.557,0.00000169,0.162666667
0.552666667,0.615333333,0.162666667,0.358,0.006806433,0.2911
0.747333333,0.496666667,0.138666667,0.324666667,0.000106,0.030241667
0.514333333,0.707,0.186666667,0.659333333,0.06717,0.267155333
0.829666667,0.567333333,0.2702,0.583333333,1.48E-05,0.027323333
0.756666667,0.595666667,0.2036,0.420333333,0.103066667,0.13114
0.886,0.567666667,0.275666667,0.471666667,0.000292,0.019335333
0.572666667,0.522,0.075633333,0.784,0.404666667,0.492666667
0.500666667,0.696,0.1453,0.562666667,0.492333997,0.317333333
0.648,0.513666667,0.121,0.497,0.009152333,0.289735667
0.527333333,0.312,0.241133333,0.110333333,0.307334373,0.481
0.790666667,0.321,0.150033333,0.272333333,9.07E-05,0.0848637
0.731666667,0.530333333,0.103233333,0.443,0.147333333,0.06314
0.678,0.675666667,0.276,0.755666667,3.60E-06,0.2574
0.928666667,0.415666667,0.102166667,0.381,0.000188,0.000319
0.496333333,0.511333333,0.2072,0.584333333,0.000648,0.122666667
0.715666667,0.565666667,0.212066667,0.613666667,0.164961,0.28541
