tempo,popularity,energy,health_categorical
107.793,70,0.705,Medium-Health
129.0603333,70.66666667,0.675333333,High-Health
133.7006667,73,0.596333333,Medium-Health
105.383,74.33333333,0.558666667,Medium-Health
105.088,60,0.473666667,High-Health
153.3736667,83.66666667,0.628666667,High-Health
127.3206667,55.33333333,0.841666667,High-Health
142.0363333,76,0.599666667,High-Health
132.3023333,85,0.527333333,High-Health
111.3616667,57,0.545,Low-Health
112.6673333,62.33333333,0.672666667,Medium-Health
107.6303333,71,0.698333333,Low-Health
125.648,65.66666667,0.752666667,High-Health
128.6616667,57.33333333,0.732,Medium-Health
108.2976667,77.66666667,0.511333333,Low-Health
110.1506667,56,0.604666667,High-Health
107.6446667,81.33333333,0.766666667,High-Health
133.019,72.66666667,0.727333333,Medium-Health
141.6506667,52.66666667,0.890666667,Low-Health
114.4533333,53,0.837,Medium-Health
138.72,88.66666667,0.482,High-Health
141.6733333,69.33333333,0.455666667,Low-Health
166.634,33,0.773333333,Low-Health
146.6846667,37,0.941,Low-Health
131.899,68.33333333,0.802,Medium-Health
127.9883333,65.66666667,0.444,High-Health
148.47,80.66666667,0.714666667,Low-Health
108.3186667,78,0.745333333,High-Health
105.456,82.66666667,0.649,High-Health
132.0223333,92.66666667,0.693333333,Medium-Health
112.6066667,38,0.915,Low-Health
119.554,84.66666667,0.719,High-Health
159.6976667,81.33333333,0.605,High-Health
120.0316667,84.33333333,0.599666667,Medium-Health
125.8036667,45.33333333,0.549423333,Low-Health
98.703,67.33333333,0.512333333,High-Health
112.312,60.33333333,0.571,High-Health
116.3973333,65.33333333,0.715666667,Medium-Health
105.7556667,56.66666667,0.459333333,Low-Health
138.714,61.33333333,0.535666667,High-Health
135.685,84.33333333,0.623333333,High-Health
103.1906667,58.33333333,0.667333333,Low-Health
135.9893333,20.66666667,0.742666667,Medium-Health
108.6656667,68.33333333,0.533,Low-Health
105.7023333,63.66666667,0.726666667,Medium-Health
138.0076667,82,0.642666667,High-Health
160.699,36.66666667,0.857333333,Low-Health
106.9493333,31,0.407333333,Low-Health
132.251,63.33333333,0.491,Medium-Health
138.247,77.33333333,0.701,High-Health
98.19433333,30,0.573,High-Health
114.1576667,46,0.686333333,Medium-Health
102.9976667,55.33333333,0.702333333,Low-Health
142.1313333,74.33333333,0.474,Low-Health
115.9613333,58.33333333,0.778333333,Medium-Health
116.6596667,81.33333333,0.548333333,High-Health
138.595,51,0.761333333,High-Health
154.7413333,75.33333333,0.516666667,Low-Health
100.1483333,74.33333333,0.513333333,Medium-Health
118.183,76.66666667,0.578666667,Low-Health
119.021,72.66666667,0.564666667,Low-Health
128.8043333,59.33333333,0.375666667,Low-Health
136.996,78.66666667,0.513666667,High-Health
